639-3	Language Name(s)	Scope	Language Type	Status
lno	Lango (South Sudan)	Individual	Living	Deprecated
lnt	Lintang	Individual	Living	Deprecated
lod	Berawan	Individual	Living	Deprecated
lsg	Lyons Sign Language	Individual	Living	Deprecated
mbg	Northern Nambikuára	Individual	Living	Deprecated
mdo	Southwest Gbaya	Individual	Living	Deprecated
meg	Mea	Individual	Living	Deprecated
mgx	Omati	Individual	Living	Deprecated
mhh	Maskoy Pidgin	Individual	Living	Deprecated
mhv	Arakanese	Individual	Living	Deprecated
miv	Mimi	Individual	Living	Deprecated
mja	Mahei	Individual	Living	Deprecated
mld	Malakhel	Individual	Living	Deprecated
mly	Malay (individual language)	Individual	Living	Deprecated
mms	Southern Mam	Individual	Living	Deprecated
mnt	Maykulan	Individual	Extinct	Deprecated
mob	Moinba	Individual	Living	Deprecated
mof	Mohegan-Montauk-Narragansett	Individual	Extinct	Deprecated
mol	Moldavian	Individual	Living	Deprecated
mpf	Tajumulco Mam	Individual	Living	Deprecated
mqd	Madang	Individual	Living	Deprecated
mst	Cataelano Mandaya	Individual	Living	Deprecated
mtz	Tacanec	Individual	Living	Deprecated
muw	Mundari	Individual	Living	Deprecated
mvc	Central Mam	Individual	Living	Deprecated
mvj	Todos Santos Cuchumatán Mam	Individual	Living	Deprecated
mvm	Muya	Individual	Living	Deprecated
mwd	Mudbura	Individual	Living	Deprecated
mwj	Maligo	Individual	Living	Deprecated
mwx	Mediak	Individual	Living	Deprecated
mwy	Mosiro	Individual	Living	Deprecated
myd	Maramba	Individual	Living	Deprecated
myi	Mina (India)	Individual	Living	Deprecated
myq	Forest Maninka	Individual	Living	Deprecated
myt	Sangab Mandaya	Individual	Living	Deprecated
mzf	Aiku	Individual	Living	Deprecated
nad	Nijadali	Individual	Living	Deprecated
nbf	Naxi	Individual	Living	Deprecated
nbx	Ngura	Individual	Extinct	Deprecated
ncp	Ndaktup	Individual	Living	Deprecated
nfg	Nyeng	Individual	Living	Deprecated
nfk	Shakara	Individual	Living	Deprecated
ngo	Ngoni	Individual	Living	Deprecated
nhj	Tlalitzlipa Nahuatl	Individual	Living	Deprecated
nhs	Southeastern Puebla Nahuatl	Individual	Living	Deprecated
nky	Khiamniungan Naga	Individual	Living	Deprecated
nln	Durango Nahuatl	Individual	Living	Deprecated
nlr	Ngarla	Individual	Living	Deprecated
nns	Ningye	Individual	Living	Deprecated
nnx	Ngong	Individual	Living	Deprecated
nom	Nocamán	Individual	Extinct	Deprecated
noo	Nootka	Individual	Living	Deprecated
nts	Natagaimas	Individual	Extinct	Deprecated
nxj	Nyadu	Individual	Living	Deprecated
nxu	Narau	Individual	Extinct	Deprecated
occ	Occidental	Individual	Constructed	Deprecated
ogn	Ogan	Individual	Living	Deprecated
ome	Omejes	Individual	Extinct	Deprecated
ope	Old Persian	Individual	Historical	Deprecated
ork	Orokaiva	Individual	Living	Deprecated
oun	ǃOǃung	Individual	Living	Deprecated
paj	Ipeka-Tapuia	Individual	Living	Deprecated
pat	Papitalai	Individual	Living	Deprecated
pbz	Palu	Individual	Living	Deprecated
pcr	Panang	Individual	Living	Deprecated
pec	Southern Pesisir	Individual	Living	Deprecated
pen	Penesak	Individual	Living	Deprecated
pgy	Pongyong	Individual	Living	Deprecated
pii	Pini	Individual	Living	Deprecated
plj	Polci	Individual	Living	Deprecated
plm	Palembang	Individual	Living	Deprecated
plp	Palpa	Individual	Living	Deprecated
pmc	Palumata	Individual	Extinct	Deprecated
pmk	Pamlico	Individual	Extinct	Deprecated
pmu	Mirpur Panjabi	Individual	Living	Deprecated
poa	Eastern Pokomam	Individual	Living	Deprecated
pob	Western Pokomchí	Individual	Living	Deprecated
pod	Ponares	Individual	Extinct	Deprecated
poj	Lower Pokomo	Individual	Living	Deprecated
pou	Southern Pokomam	Individual	Living	Deprecated
ppa	Pao	Individual	Living	Deprecated
ppr	Piru	Individual	Living	Deprecated
ppv	Papavô	Individual	Living	Deprecated
prb	Lua'	Individual	Living	Deprecated
prp	Parsi	Individual	Living	Deprecated
prv	Provençal	Individual	Living	Deprecated
pry	Pray 3	Individual	Living	Deprecated
puk	Pu Ko	Individual	Living	Deprecated
pun	Pubian	Individual	Living	Deprecated
puz	Purum Naga	Individual	Living	Deprecated
quj	Joyabaj Quiché	Individual	Living	Deprecated
qut	West Central Quiché	Individual	Living	Deprecated
quu	Eastern Quiché	Individual	Living	Deprecated
qxi	San Andrés Quiché	Individual	Living	Deprecated
rae	Ranau	Individual	Living	Deprecated
rie	Rien	Individual	Living	Deprecated
rjb	Rajbanshi	Individual	Living	Deprecated
rmr	Caló	Individual	Living	Deprecated
rna	Runa	Individual	Extinct	Deprecated
rsi	Rennellese Sign Language	Individual	Living	Deprecated
rws	Rawas	Individual	Living	Deprecated
sap	Sanapaná	Individual	Living	Deprecated
sca	Sansu	Individual	Living	Deprecated
scc	Serbian	Individual	Living	Deprecated
scr	Croatian	Individual	Living	Deprecated
sdd	Semendo	Individual	Living	Deprecated
sdi	Sindang Kelingi	Individual	Living	Deprecated
sdm	Semandang	Individual	Living	Deprecated
sgl	Sanglechi-Ishkashimi	Individual	Living	Deprecated
sgo	Songa	Individual	Living	Deprecated
sic	Malinguat	Individual	Living	Deprecated
skk	Sok	Individual	Living	Deprecated
skl	Selako	Individual	Living	Deprecated
slb	Kahumamahon Saluan	Individual	Living	Deprecated
slq	Salchuq	Individual	Extinct	Deprecated
smd	Sama	Individual	Living	Deprecated
snb	Sebuyau	Individual	Living	Deprecated
snh	Shinabo	Individual	Extinct	Deprecated
srj	Serawai	Individual	Living	Deprecated
stc	Santa Cruz	Individual	Living	Deprecated
suf	Tarpia	Individual	Living	Deprecated
suh	Suba	Individual	Living	Deprecated
sul	Surigaonon	Individual	Living	Deprecated
sum	Sumo-Mayangna	Individual	Living	Deprecated
suu	Sungkai	Individual	Living	Deprecated
svr	Savara	Individual	Living	Deprecated
szd	Seru	Individual	Extinct	Deprecated
szk	Sizaki	Individual	Living	Deprecated
tbb	Tapeba	Individual	Extinct	Deprecated
tdu	Tempasuk Dusun	Individual	Living	Deprecated
tgg	Tangga	Individual	Living	Deprecated
thc	Tai Hang Tong	Individual	Living	Deprecated
thw	Thudam	Individual	Living	Deprecated
thx	The	Individual	Living	Deprecated
tid	Tidong	Individual	Living	Deprecated
tie	Tingal	Individual	Living	Deprecated
tkk	Takpa	Individual	Living	Deprecated
tle	Southern Marakwet	Individual	Living	Deprecated
tlw	South Wemale	Individual	Living	Deprecated
tlz	Toala'	Individual	Living	Deprecated
tmk	Northwestern Tamang	Individual	Living	Deprecated
tmp	Tai Mène	Individual	Living	Deprecated
tmx	Tomyang	Individual	Living	Deprecated
tne	Tinoc Kallahan	Individual	Living	Deprecated
tnf	Tangshewi	Individual	Living	Deprecated
tnj	Tanjong	Individual	Living	Deprecated
toe	Tomedes	Individual	Extinct	Deprecated
tot	Patla-Chicontla Totonac	Individual	Living	Deprecated
tpw	Tupí	Individual	Extinct	Deprecated
tsf	Southwestern Tamang	Individual	Living	Deprecated
ttx	Tutong 1	Individual	Living	Deprecated
tzb	Bachajón Tzeltal	Individual	Living	Deprecated
tzc	Chamula Tzotzil	Individual	Living	Deprecated
tze	Chenalhó Tzotzil	Individual	Living	Deprecated
tzs	San Andrés Larrainzar Tzotzil	Individual	Living	Deprecated
tzt	Western Tzutujil	Individual	Living	Deprecated
tzu	Huixtán Tzotzil	Individual	Living	Deprecated
tzz	Zinacantán Tzotzil	Individual	Living	Deprecated
ubm	Upper Baram Kenyah	Individual	Living	Deprecated
unp	Worora	Individual	Living	Deprecated
uok	Uokha	Individual	Living	Deprecated
uun	Kulon-Pazeh	Individual	Living	Deprecated
vki	Ija-Zuba	Individual	Living	Deprecated
vky	Kayu Agung	Individual	Living	Deprecated
vlr	Vatrata	Individual	Living	Deprecated
vmo	Muko-Muko	Individual	Living	Deprecated
wgw	Wagawaga	Individual	Living	Deprecated
wit	Wintu	Individual	Living	Deprecated
wiw	Wirangu	Individual	Living	Deprecated
wra	Warapu	Individual	Living	Deprecated
wrd	Warduji	Individual	Living	Deprecated
wre	Ware	Individual	Living	Deprecated
wya	Wyandot	Individual	Living	Deprecated
xah	Kahayan	Individual	Living	Deprecated
xba	Kamba (Brazil)	Individual	Extinct	Deprecated
xbx	Kabixí	Individual	Extinct	Deprecated
xia	Xiandao	Individual	Living	Deprecated
xip	Xipináwa	Individual	Extinct	Deprecated
xkh	Karahawyana	Individual	Living	Deprecated
xkm	Mahakam Kenyah	Individual	Living	Deprecated
xmi	Miarrã	Individual	Living	Deprecated
xrq	Karranga	Individual	Extinct	Deprecated
xsk	Sakan	Individual	Historical	Deprecated
xss	Assan	Individual	Extinct	Deprecated
xst	Silt'e	Individual	Living	Deprecated
xtz	Tasmanian	Individual	Extinct	Deprecated
xuf	Kunfal	Individual	Living	Deprecated
ybd	Yangbye	Individual	Living	Deprecated
yds	Yiddish Sign Language	Individual	Living	Deprecated
yen	Yendang	Individual	Living	Deprecated
yib	Yinglish	Individual	Living	Deprecated
yio	Dayao Yi	Individual	Living	Deprecated
yiy	Yir Yoront	Individual	Living	Deprecated
yma	Yamphe	Individual	Living	Deprecated
ymj	Muji Yi	Individual	Living	Deprecated
ymt	Mator-Taygi-Karagas	Individual	Extinct	Deprecated
ynh	Yangho	Individual	Living	Deprecated
yos	Yos	Individual	Living	Deprecated
ypl	Pula Yi	Individual	Living	Deprecated
ypw	Puwa Yi	Individual	Living	Deprecated
yri	Yarí	Individual	Living	Deprecated
yus	Chan Santa Cruz Maya	Individual	Living	Deprecated
yuu	Yugh	Individual	Living	Deprecated
ywm	Wumeng Yi	Individual	Living	Deprecated
yym	Yuanjiang-Mojiang Yi	Individual	Living	Deprecated
zir	Ziriya	Individual	Extinct	Deprecated
zkb	Koibal	Individual	Extinct	Deprecated
ztc	Lachirioag Zapotec	Individual	Living	Deprecated
zua	Zeem	Individual	Living	Deprecated
